CM_01,CM_02,CM_03,CM_04,CM_05,CM_06,CM_07,CM_08,CM_09,CM_10,CM_11,CM_12,CM_13,CM_14,CM_15,CM_16,CM_17,CM_18,CM_19,CM_20,CM_21,CM_22,CM_23,CM_24,CM_25,CM_26,CM_27,CM_28,CM_29,CM_30,CM_31,CM_32,CM_33,CM_34,CM_35,CM_36,CM_37,CM_38,CM_39,CM_40,CM_41,CM_42,CM_43,CM_44,CM_45,CM_46,CM_47,CM_48,CM_49,CM_50,CM_51,CM_52,CM_53,CM_54,CM_55,CM_56,CM_57,CM_58,CM_59,CM_60,CM_61,CM_62,CM_63,CM_64,CM_65,CM_66,CM_67,CM_68,CM_69,CM_70,CM_71,CM_72
P21127-8;P21127-2;P21127;P21127-3;P21127-6;P21127-9;P21127-10;P21127-12;P21127-4;P21127-5,P18754;P18754-2,P51148;P51148-2,O14950,P09467,P61088,O43913,P00533,O75688;O75688-4;O75688-5,O43819,P00414,P07919,P51398-2;P51398;P51398-3,O75414,Q13232,O95363,P78316;P78316-2,Q14181,O95619,P49406,Q5T653,Q5TGZ0,O75394,O60783,P03891,P60059,P03886,P10606,O00217,O43181,O14521-2;O14521;O14521-4,P00403,P48553,O75947;O75947-2,O14818,O00231;O00231-2,P35998;P35998-2,O15212,P17987,Q8TAQ2,Q5T3J3,O43516;O43516-3;O43516-2;O43516-4,O60563,O15213,Q12830;Q12830-4;Q12830-2,O15143,O60885;O60885-2;O60885-3,O15042-2;O15042;O15042-3,O75400,O43809,O75533,O43390;O43390-3,P23246;P23246-2,P62304,O75643,P08579,O60216,O14579;O14579-3;O14579-2,O00303,E9PAV3;Q13765;E9PAV3-2,O95347;O95347-2,O75694;O75694-2,O00203,O43747;O43747-2,P07237,P25205;P25205-2,P07737,O14879,O43776,O43432;O43432-3;O43432-4,P10412,P05089;P05089-2
P25490,P51532-3;P51532-4;P51532-5;P51532-2,P51149,P05976-2;P05976,P29373,P61201;P61201-2,O95696-2,P40261,Q16774,Q12981;Q12981-1;Q12981-2;Q12981-3,Q6P4A7;Q6P4A7-3,Q15628;Q15628-2,P82933,Q16854;Q16854-2;Q16854-3;Q16854-5,Q8IXI2-3;Q8IXI2-2;Q8IXI2-5;Q8IXI2-7;Q8IXI2,O95772-2,Q14146,Q9BRT9,Q9H7L9,Q14197,Q8IXM3,Q5XKP0,Q4U2R6,P82650,P62341,P61165,P03915,P14927,O14949,O43678;O43678-2,Q8N4T8;Q8N4T8-2,P09669,P62913-2,O75964,P20618,O00232;O00232-2,P43686;P43686-2,O60925,P40227;P40227-2,Q92610,Q8NB78;Q8NB78-2,P15498;P15498-2,Q71SY5-4,Q15061,Q16594,O15144,O95104;O95104-2;O95104-3,O75494-3;O75494-4;O75494,Q15233;Q15233-2,P43243,P08621;P08621-2;P08621-3,P07910-2;P07910-4,P62318-2;P62318,P62306,Q13769,Q13868;Q13868-2;Q13868-3,Q14683,P35606;P35606-2,O15372,P05386,Q15003;Q15003-2,P52948-5;P52948;P52948-2,O14617-5;O14617;O14617-4;O14617-2;O14617-3,Q5H9R7-6;Q5H9R7-2;Q5H9R7;Q5H9R7-4;Q5H9R7-5;Q5H9R7-3,P11021,P33991,P46109,P09914;P09914-2,P49588;P49588-2,P84022;P84022-3,P23527,Q02413
Q14119,P84101-4;P84101;P84101-3;P84101-2,P61106,P35579;P35579-2,P50225,Q13098-5;Q13098;Q13098-7,Q12789;Q12789-3,Q02952;Q02952-3,Q5TEU4,Q8IYS2;Q8IYS2-2,Q9BV81,Q99807;Q99807-2,Q9BZE1,Q9NTG7,Q8NBL1,P56589,Q15269,Q9NS87;Q9NS87-2;Q9NS87-4,Q9ULM3,Q8N5N7,Q9BYD1,Q8TCC3-2;Q8TCC3;Q8TCC3-3,Q9BYN8,P82663;P82663-2,Q10469,Q8N6L1;Q8N6L1-2,P47985,P31930,O43674;O43674-2,O43920,Q92506,P13073,Q13588,P06576,P25786;P25786-2,O00487,P62191,P31948;P31948-2;P31948-3,P48643;P48643-2,Q96PV6-2,Q8TAD8,P42768,Q86VM9,Q5QJE6,Q68E01-2;Q68E01;Q68E01-3,O15145,Q13428-3;Q13428-8;Q13428-5,P55081,Q15637-6;Q15637-2;Q15637-3;Q15637;Q15637-7,P84090,P26368-2;P26368,P09651;P09651-2;P09651-3,P84103-2;P84103,P62308;A8MWD9,Q15029-2;Q15029;Q15029-3,Q15024,Q8N3U4,P48444;P48444-2,P60228,P05387,Q15021,P57740,Q96A65,Q7L5D6;Q7L5D6-2,P14625,P33992,P47755,P20591;P20591-2,P49589-3,Q15796-2;Q15796,P62805,Q08554-2;Q08554
Q7Z2T5;Q7Z2T5-2,Q14839;Q14839-2,P62820;P62820-2;P62820-3,P60660,Q12797;Q12797-10,Q92905,Q6PD62,Q05682-5,Q70IA6;Q70IA6-3;Q70IA6-2,Q969Q5,Q9UI14,Q9BSF4,Q9Y2Q9,Q9NZJ6,Q96ND0,Q0PNE2;Q0PNE2-2,Q8NI36,Q9Y248,Q9Y6X3,Q8N983-4,Q9BYD6,Q9Y2R0,Q9NWU5;Q9NWU5-2;Q9NWU5-3,P82912-2;P82912;P82912-3,Q5J8M3;Q5J8M3-2;Q5J8M3-3,Q9BU61;Q9BU61-2,Q8N2U0,Q9Y3B3;Q86XR7-2;Q9Y3B3-2,O43676,O75489,Q99643,P14406,Q13905-3;Q13905;Q13905-4;Q13905-2,P18859;P18859-2,P25787,O43242,P62195;P62195-2,P55036;P55036-2,P49368,Q9NPF5,Q99590;Q99590-2,Q7L591,Q8IWZ8,Q8NEJ9-2;Q8NEJ9,Q96ES7,O15511;O15511-2,Q15047-3;Q15047,P62995;P62995-3,Q16630-2;Q16630;Q16630-3,Q01081;Q01081-4,Q13547,P14866;P14866-2,Q00839,P62316,Q6P2Q9,Q96B26,Q9NTI5-2;Q9NTI5,P53618,Q14152;Q14152-2,P05388;Q8NHW5,Q8TCG1;Q8TCG1-2,Q12769,Q96KP1,Q9NRW7,P23284,P33993;P33993-3,P47756-2,P29728-2,P49591,Q93100-3;Q93100-4;Q93100;Q93100-2,P68431,Q5T749
,Q9UPN6;Q9UPN6-2,P84077,,Q5ZPR3;Q5ZPR3-4;Q5ZPR3-3;Q5ZPR3-2,Q9BT78;Q9BT78-2,,Q14192,Q7Z4G1;Q7Z4G1-2,Q96A57-2;Q96A57,Q9Y587;Q9Y587-3;Q9Y587-4;Q9Y587-2,Q9BSR8,Q9Y3D9,Q9Y4E6-2;Q9Y4E6,,Q86Y79,Q9NV31,,,Q96A35,Q9HD33-2;Q9HD33,Q9Y584,Q9Y399,P82914,Q7Z7F7;Q7Z7F7-2,Q9P0U1,Q9H2K0,,O75306;O75306-2,O95139;O95139-2,Q99766,P15954,Q14814-4;Q14814;Q14814-6;Q14814-5;Q14814-3;Q14814-2,P24539,P25788-2;P25788,P17980,P62333,P61758,P50990;P50990-2,Q9UKI8;Q9UKI8-2;Q9UKI8-5;Q9UKI8-4;Q9UKI8-3,Q9ULV3-5;Q9ULV3;Q9ULV3-2;Q9ULV3-3;Q9ULV3-4,,Q9UHR5-2;Q9UHR5,Q8TED0;Q8TED0-3;Q8TED0-2,,O75083;O75083-3,,Q01130;Q01130-2,Q8WYA6;Q8WYA6-4;Q8WYA6-2;Q8WYA6-3,Q07666;Q07666-2;Q07666-3,Q96AE4,P22626,Q12906-7;Q12906-4;Q12906-6,Q9Y3B4,,Q9NPD3,Q9UQE7,P53621,Q7L2H7;Q7L2H7-2,P08865,Q9BPX3,Q5SRE5;Q5SRE5-2,Q9Y2T2,,P27797,P35249;P35249-2,P52907,Q8IY21,P54577,Q96II8;Q96II8-4;Q96II8-2;Q96II8-3,Q5QNW6-2;Q5QNW6;Q93079,Q8N1N4;Q8N1N4-2
,,Q9NR31;Q9NR31-2,,Q8IV36-2;Q8IV36;Q8IV36-3,,,Q6NZI2;Q6NZI2-2,Q86VX2-2;Q86VX2,Q96DZ1;Q96DZ1-3;Q96DZ1-2,,Q9NWU1;Q9NWU1-2,,,,Q96NB2,,,,Q96DV4,Q9NRX2,,,P82921,Q8IVH4,,,,O75380,O95169-3;O95169;O95169-2,Q9BV79;Q9BV79-2,P20674,Q2VPB7,P25705;P25705-3,P25789;P25789-2,P48556,,Q99471,P50991,,,,,Q969X6;Q969X6-3;Q969X6-2,,P59998;P59998-3,,Q15424-4;Q15424;Q15424-3;Q15424-2,Q92945,Q07955;Q07955-3;Q07955-2,Q96PK6,P26599;P26599-2;P26599-3,Q13148,,,Q9NQT4,,P61923;P61923-4;P61923-5;P61923-3,Q99613;Q99613-2;B5ME19,P0CW22;P08708,Q9NTJ3;Q9NTJ3-2,Q8N1F7;Q8N1F7-2,,,P30101,P35250;P35250-2,Q15019;Q15019-2;Q15019-3,Q9UDY8-2;Q9UDY8,,,Q6FI13;Q16777,
,,,,Q8IVT2,,,Q9Y6M1-1;Q9Y6M1;Q9Y6M1-5;Q9Y6M1-3;Q9Y6M1-4,Q8WUH2,Q96PE7,,Q9Y5R8,,,,Q99735;Q99735-2,,,,Q9BYD2,Q9P032,,,P82930,Q8N4H5;Q8N4H5-3;Q8N4H5-2,,,,O75438;O75438-2,O95298;E9PQ53;O95298-2;O95298-3,Q9P0S9,,Q8NC44,P30049,P28066;P28066-2,P51665,,Q9UHV9,P78371,,,,,Q9BXY0,,P61158,,Q7L014,Q9BXP5-4;Q9BXP5-2;Q9BXP5-3;Q9BXP5;Q9BXP5-5,Q16629-3;Q16629-2;Q16629-4;Q16629,,P31943,,,,Q9NQT5;Q9NQT5-2,,Q9Y678,Q9UBQ5;Q9UBQ5-2,P13639,,Q92621,,,,P40937;P40937-2,Q16181,,,,Q71UI9;P0C0S5;Q71UI9-4;Q71UI9-2;Q71UI9-3,
,,,,Q8N335,,,,Q96AJ9-1;Q96AJ9,Q9H2W6,,,,,,Q9UGM6,,,,Q9BYD3;Q9BYD3-2,,,,Q9Y2R5,Q8TBQ9,,,,O95167,P17568,,,Q92540-2;Q92540;Q92540-4;Q92540-5,P48047,P49720,Q13200;Q13200-3;Q13200-2,,,Q99832;Q99832-3;Q99832-4;Q99832-2,,,,,Q9GZR2,,P61160;P61160-2,,Q8IWX8,Q9UHX1-2;Q9UHX1-4,,,P52272;P52272-2,,,,,,,,P15880,,Q9BW27,,,,P40938;P40938-2,Q9NVA2;Q9NVA2-2,,,,Q8IUE6,
,,,,Q8WTS6,,,,Q9GZQ3,Q9UK45,,,,,,,,,,Q9H0U6,,,,,Q96EL2,,,,O95168;O95168-2,P51970,,,Q96HR3-2;Q96HR3,P56134;P56134-3,P49721,Q99460;Q99460-2,,,,,,,,Q9H0A0;Q9H0A0-2,,,,Q92797,,,,P52597,,,,,,,,P18077,,,,,,P43246,,,,,,
,,,,Q96AY3,,,,Q9Y6G5,,,,,,,,,,,Q9H9J2,,,,,Q9NQ50,,,,O95182,Q9P0J0;Q9P0J0-2,,,Q9P2A4,P56385,P60900;P60900-2;P60900-3,,,,,,,,,Q9H8H0,,,,Q96HJ9-2;Q9Y383-3,,,,P61978-3,,,,,,,,P18124,,,,,,P49736,,,,,,
,,,,Q9H6S3;Q9H6S3-3,,,,,,,,,,,,,,,Q9NVS2,,,,,Q9NRP0;Q9NRP0-2,,,,O96000;O96000-2,Q9UI09,,,Q9P2Y5,Q96IX5,,,,,,,,,,Q9NQ55-2;Q9NQ55;Q9NQ55-3,,,,Q96T37-4;Q96T37-2;Q96T37-3;Q96T37,,,,Q13151,,,,,,,,P18621;P18621-3;P18621-2,,,,,,Q14566,,,,,,
,,,,Q9UKS6,,,,,,,,,,,,,,,Q9NYK5;Q9NYK5-2,,,,,Q9UKR5,,,,P19404,Q9Y6M9,,,,,,,,,,,,,,Q9NV06,,,,Q9P2I0,,,,Q13838;Q13838-2,,,,,,,,P23396,,,,,,,,,,,,
,,,,Q9Y6M5,,,,,,,,,,,,,,,Q9P015,,,,,Q9Y291,,,,P21912,,,,,,,,,,,,,,,Q9NYH9,,,,,,,,Q15717;Q15717-2,,,,,,,,P25398,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Q9P0M9,,,,,Q9Y5U9,,,,P28331;P28331-2;P28331-4;P28331-5;P28331-3,,,,,,,,,,,,,,,Q9UNX4,,,,,,,,,,,,,,,,P26373;P26373-2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,P49821-2;P49821,,,,,,,,,,,,,,,Q9Y3A2;Q9Y3A2-2,,,,,,,,,,,,,,,,P27635,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q16718;Q16718-2,,,,,,,,,,,,,,,Q9Y5J1,,,,,,,,,,,,,,,,P30050;P30050-2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q16795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P32969,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q86Y39;Q86Y39-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P35268,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q9HBL7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P36578,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P39019,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P39023,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P40429,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P42677,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P42766,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P46776,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P46777,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P46778,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P46779,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P46781,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P46782,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P46783,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P47914,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P49207,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P50914,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P60866;P60866-2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P61247,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P61254,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P61313,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P61353,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P61513,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P62081,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P62241,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P62244,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P62249,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P62263,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P62266,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P62269,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P62273;P62273-2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P62277,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P62280,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P62424,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P62701,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P62750,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P62753,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P62829,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P62841,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P62847;P62847-2;P62847-3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P62851,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P62854,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P62857,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P62861,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P62888,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P62899;P62899-3;P62899-2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P62906,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P62910,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P62913,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P62917,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P63173,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P63220,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P63244,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P68104;Q5VTE0;P68104-2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P83731,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P84098,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q02543,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q02878,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q07020;Q07020-2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q59GN2;P62891,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q86VV8;Q86VV8-3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q969Q0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q9ULJ8-5;Q9ULJ8-3;Q9ULJ8;Q9ULJ8-4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q9Y3U8,,,,,,,,,,,,
